fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,1.0,1.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,1.0,1.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,870.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,873.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,873.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,870.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,870.0,,,,,1.0,1.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,885.0,,,,,2.0,2.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,897.0,,,,,2.0,2.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,909.0,,,,,1.0,1.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,918.0,,,,,1.0,1.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,924.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,921.0,,,,,1.0,1.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,912.0,,,,,1.0,1.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,903.0,,,,,2.0,2.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,888.0,,,,,2.0,2.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,873.0,,,,,2.0,2.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,867.0,,,,,1.0,1.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,1.0,1.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,867.0,,,,,1.0,1.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,1.0,1.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,873.0,,,,,1.0,1.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,882.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,882.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,879.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,876.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,873.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,870.0,,,,,1.0,1.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,876.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,879.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,879.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,879.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,876.0,,,,,1.0,1.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,873.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,870.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,870.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,870.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,873.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,873.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,876.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,870.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,870.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,870.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,858.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,867.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,864.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,861.0,,,,,0.0,0.0,,,0.35,60.0,20,
